21/05/2025 00:12:17	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:12:21		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:21		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:12:21		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:12:21		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:12:21		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:12:21		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:12:23		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:23		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:12:23		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:12:23		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:12:23		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:12:23		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:12:26		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:26		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:12:28		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:28		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:12:41	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:12:44		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:44		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:12:44		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:12:44		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:12:44		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:12:44		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:12:46		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:12:46		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:34:51	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:35:03		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:03		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:03		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:03		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:03		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:03		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:14		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:14		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:14		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:14		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:14		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:14		Dal.SaleImplementation.ReadAll :	readAll sale end
